Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,etf_name,etf_ticker,as_of_date
PGR,PROGRESSIVE CORP,Financials,Equity,"698,113,868.90",0.21,"698,113,868.90","5,262,826.00",132.65,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
SO,SOUTHERN,Utilities,Equity,"697,220,937.28",0.21,"697,220,937.28","9,803,444.00",71.12,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,"694,642,388.41",0.21,"694,642,388.41","970,049.00",716.09,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"691,405,053.75",0.21,"691,405,053.75","12,925,875.00",53.49,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"684,488,081.91",0.21,"684,488,081.91","2,720,649.00",251.59,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
FI,FISERV INC,Financials,Equity,"679,322,203.20",0.21,"679,322,203.20","5,550,018.00",122.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,"664,352,997.54",0.2,"664,352,997.54","10,030,998.00",66.23,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
BDX,BECTON DICKINSON,Health Care,Equity,"659,439,567.25",0.2,"659,439,567.25","2,553,493.00",258.25,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"657,170,987.98",0.2,"657,170,987.98","9,839,362.00",66.79,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
EQIX,EQUINIX REIT INC,Real Estate,Equity,"643,426,054.36",0.2,"643,426,054.36","840,838.00",765.22,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
DUK,DUKE ENERGY CORP,Utilities,Equity,"627,184,294.64",0.19,"627,184,294.64","6,928,682.00",90.52,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
ITW,ILLINOIS TOOL INC,Industrials,Equity,"620,645,432.82",0.19,"620,645,432.82","2,486,361.00",249.62,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
SLB,SCHLUMBERGER NV,Energy,Equity,"616,897,347.28",0.19,"616,897,347.28","12,814,652.00",48.14,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
AON,AON PLC CLASS A,Financials,Equity,"612,662,798.36",0.19,"612,662,798.36","1,836,299.00",333.64,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
CSX,CSX CORP,Industrials,Equity,"611,782,365.63",0.19,"611,782,365.63","18,278,529.00",33.47,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
KLAC,KLA CORP,Information Technology,Equity,"588,296,493.51",0.18,"588,296,493.51","1,233,507.00",476.93,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
SNPS,SYNOPSYS INC,Information Technology,Equity,"584,386,439.76",0.18,"584,386,439.76","1,369,292.00",426.78,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Equity,"581,958,300.63",0.18,"581,958,300.63","1,997,043.00",291.41,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
CME,CME GROUP INC CLASS A,Financials,Equity,"578,736,826.50",0.18,"578,736,826.50","3,234,070.00",178.95,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
