Accrual Date,Asset Class,Currency,Exchange,FX Rate,Location,Market Currency,Market Value,Name,Notional Value,Price,Sector,Shares,Ticker,Type,Weight (%),as_of_date,etf_name,etf_ticker
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"937,008,293.13",LOCKHEED MARTIN CORP,"937,008,293.13",458.71,Industrials,"2,042,703.00",LMT,,0.28,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"928,505,670.60",BLACKROCK INC,"928,505,670.60",684.10,Financials,"1,357,266.00",BLK,,0.28,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"922,515,230.80",ELEVANCE HEALTH INC,"922,515,230.80",429.40,Health Care,"2,148,382.00",ELV,,0.28,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"914,993,279.40",AMERICAN EXPRESS,"914,993,279.40",169.80,Financials,"5,388,653.00",AXP,,0.27,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"900,995,886.00",STRYKER CORP,"900,995,886.00",294.27,Health Care,"3,061,800.00",SYK,,0.27,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"888,634,872.00",MONDELEZ INTERNATIONAL INC CLASS A,"888,634,872.00",72.00,Consumer Staples,"12,342,151.00",MDLZ,,0.27,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"882,637,062.84",BOOKING HOLDINGS INC,"882,637,062.84","2,636.91",Consumer Discretionary,"334,724.00",BKNG,,0.26,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"863,033,051.60",TJX INC,"863,033,051.60",82.70,Consumer Discretionary,"10,435,708.00",TJX,,0.26,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"849,538,314.27",ANALOG DEVICES INC,"849,538,314.27",185.31,Information Technology,"4,584,417.00",ADI,,0.25,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"841,278,210.88",GILEAD SCIENCES INC,"841,278,210.88",74.42,Health Care,"11,304,464.00",GILD,,0.25,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"825,932,215.35",AMERICAN TOWER REIT CORP,"825,932,215.35",195.55,Real Estate,"4,223,637.00",AMT,,0.25,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"824,926,340.61",MARSH & MCLENNAN INC,"824,926,340.61",183.99,Financials,"4,483,539.00",MMC,,0.25,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"818,970,434.64",AUTOMATIC DATA PROCESSING INC,"818,970,434.64",218.74,Industrials,"3,744,036.00",ADP,,0.25,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"806,988,624.48",CITIGROUP INC,"806,988,624.48",45.74,Financials,"17,642,952.00",C,,0.24,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"803,664,648.96",CVS HEALTH CORP,"803,664,648.96",69.17,Health Care,"11,618,688.00",CVS,,0.24,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"789,357,097.94",VERTEX PHARMACEUTICALS INC,"789,357,097.94",338.18,Health Care,"2,334,133.00",VRTX,,0.24,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"764,846,811.36",CHARLES SCHWAB CORP,"764,846,811.36",56.79,Financials,"13,467,984.00",SCHW,,0.23,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Money Market,USD,-,1.0,United States,USD,"755,908,285.18",BLK CSH FND TREASURY SL AGENCY,"755,908,285.18",1.00,Cash and/or Derivatives,"755,908,285.00",XTSLA,,0.23,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"752,251,782.04",LAM RESEARCH CORP,"752,251,782.04",617.87,Information Technology,"1,217,492.00",LRCX,,0.23,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"743,836,576.12",ALTRIA GROUP INC,"743,836,576.12",45.98,Consumer Staples,"16,177,394.00",MO,,0.22,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"743,074,556.16",CIGNA,"743,074,556.16",277.12,Health Care,"2,681,418.00",CI,,0.22,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"725,379,207.54",T MOBILE US INC,"725,379,207.54",138.97,Communication,"5,219,682.00",TMUS,,0.22,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"718,919,538.33",CHUBB LTD,"718,919,538.33",191.53,Financials,"3,753,561.00",CB,,0.22,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"716,920,277.82",EATON PLC,"716,920,277.82",198.46,Industrials,"3,612,417.00",ETN,,0.21,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"700,435,656.80",FISERV INC,"700,435,656.80",125.20,Financials,"5,594,534.00",FI,,0.21,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"699,984,158.54",ZOETIS INC CLASS A,"699,984,158.54",167.14,Health Care,"4,188,011.00",ZTS,,0.21,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"698,464,283.52",SOUTHERN,"698,464,283.52",70.68,Utilities,"9,882,064.00",SO,,0.21,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"696,338,631.58",PROGRESSIVE CORP,"696,338,631.58",131.26,Financials,"5,305,033.00",PGR,,0.21,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"689,145,263.95",SCHLUMBERGER NV,"689,145,263.95",53.35,Energy,"12,917,437.00",SLB,,0.21,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"681,313,391.64",BOSTON SCIENTIFIC CORP,"681,313,391.64",52.29,Health Care,"13,029,516.00",BSX,,0.2,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"679,006,909.35",PALO ALTO NETWORKS INC,"679,006,909.35",247.59,Information Technology,"2,742,465.00",PANW,,0.2,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"677,077,610.00",REGENERON PHARMACEUTICALS INC,"677,077,610.00",692.45,Health Care,"977,800.00",REGN,,0.2,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"675,343,812.29",PAYPAL HOLDINGS INC,"675,343,812.29",66.79,Financials,"10,111,451.00",PYPL,,0.2,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"661,302,060.12",BECTON DICKINSON,"661,302,060.12",256.92,Health Care,"2,573,961.00",BDX,,0.2,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"654,592,192.87",EQUINIX REIT INC,"654,592,192.87",772.31,Real Estate,"847,577.00",EQIX,,0.2,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"626,974,865.72",DUKE ENERGY CORP,"626,974,865.72",89.77,Utilities,"6,984,236.00",DUK,,0.19,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"620,854,978.53",AON PLC CLASS A,"620,854,978.53",335.41,Financials,"1,851,033.00",AON,,0.19,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"615,910,895.60",EOG RESOURCES INC,"615,910,895.60",116.20,Energy,"5,300,438.00",EOG,,0.18,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"613,555,663.50",CSX CORP,"613,555,663.50",33.30,Industrials,"18,425,095.00",CSX,,0.18,2023-07-07,iShares Core S&P 500 ETF,ivv
