Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,etf_name,etf_ticker,as_of_date
VATE,INNOVATE CORP,Industrials,Equity,"164,859.24",0.0,"164,859.24","90,582.00",1.82,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
TWOU,2U INC,Consumer Discretionary,Equity,"153,079.88",0.0,"153,079.88","39,658.00",3.86,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
CTXR,CITIUS PHARMACEUTICALS INC,Health Care,Equity,"147,072.50",0.0,"147,072.50","117,658.00",1.25,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
CIFR,CIPHER MINING INC,Information Technology,Equity,"143,930.78",0.0,"143,930.78","44,699.00",3.22,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
RCKY,ROCKY BRANDS INC,Consumer Discretionary,Equity,"144,379.04",0.0,"144,379.04","6,772.00",21.32,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
SVRA,SAVARA INC,Health Care,Equity,"139,552.91",0.0,"139,552.91","44,023.00",3.17,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
MEC,MAYVILLE ENGINEERING COMPANY INC,Industrials,Equity,"130,227.20",0.0,"130,227.20","10,174.00",12.80,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
ISPR,ISPIRE TECHNOLOGY INC,Consumer Staples,Equity,"128,521.35",0.0,"128,521.35","12,865.00",9.99,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
QRTEB,QURATE RETAIL INC SERIES B,Consumer Discretionary,Equity,"121,931.28",0.0,"121,931.28","14,726.00",8.28,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
BIVI,BIOVIE INC,Health Care,Equity,"114,589.88",0.0,"114,589.88","27,154.00",4.22,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
CMT,CORE MOLDING TECHNOLOGIES INC,Materials,Equity,"110,305.60",0.0,"110,305.60","4,855.00",22.72,United States,Nyse Mkt Llc,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
